,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
0,0.0,2572.0,0.0,2642.0,1.0,0.0,0.0,0.0,0.0
1,179.0,2572.0,0.0,2463.0,1.0,0.06775170564651489,0.12690535187721252,0.0,0.002002002002002002
2,381.0,2572.0,0.0,2261.0,1.0,0.14420893788337708,0.2520674765110016,0.0,0.004004004004004004
3,566.0,2572.0,0.0,2076.0,1.0,0.21423164010047913,0.35286784172058105,0.0,0.006006006006006006
4,712.0,2572.0,0.0,1930.0,1.0,0.2694928050041199,0.42456766963005066,0.0,0.008008008008008008
5,860.0,2572.0,0.0,1782.0,1.0,0.32551097869873047,0.49114790558815,0.0,0.01001001001001001
6,974.0,2571.0,1.0,1668.0,0.9989743828773499,0.3686600923538208,0.5385679006576538,0.00038880249485373497,0.012012012012012012
7,1071.0,2571.0,1.0,1571.0,0.9990671873092651,0.4053747057914734,0.5767366886138916,0.00038880249485373497,0.014014014014014014
8,1152.0,2570.0,2.0,1490.0,0.998266875743866,0.43603330850601196,0.6069546937942505,0.0007776049897074699,0.016016016016016016
9,1239.0,2569.0,3.0,1403.0,0.9975845217704773,0.4689629077911377,0.6380020380020142,0.001166407484561205,0.018018018018018018
10,1301.0,2569.0,3.0,1341.0,0.9976993799209595,0.4924299716949463,0.6594019532203674,0.001166407484561205,0.02002002002002002
11,1374.0,2569.0,3.0,1268.0,0.9978213310241699,0.5200605392456055,0.683752179145813,0.001166407484561205,0.022022022022022022
12,1415.0,2569.0,3.0,1227.0,0.9978843331336975,0.5355790853500366,0.697044312953949,0.001166407484561205,0.024024024024024024
13,1465.0,2567.0,5.0,1177.0,0.9965986609458923,0.5545041561126709,0.7125486135482788,0.0019440124742686749,0.026026026026026026
14,1514.0,2566.0,6.0,1128.0,0.996052622795105,0.5730507373809814,0.727534830570221,0.00233281496912241,0.028028028028028028
15,1564.0,2566.0,6.0,1078.0,0.9961783289909363,0.591975748538971,0.7426400780677795,0.00233281496912241,0.03003003003003003
16,1607.0,2564.0,8.0,1035.0,0.9950464367866516,0.6082513332366943,0.7549917697906494,0.0031104199588298798,0.03203203203203203
